start_row,match_length
420.0,3
1341.0,6
1509.0,5
1572.0,5
1737.0,5
1792.0,4
1800.0,2
1815.0,4
1897.0,6
1926.0,2
2026.0,4
2031.0,7
2049.0,6
2055.0,2
2068.0,4
2072.0,4
2125.0,2
2147.0,2
2203.0,3
2232.0,6
2260.0,4
2276.0,2
2290.0,3
2303.0,2
2319.0,3
2325.0,2
2331.0,4
2368.0,3
2375.0,6
2381.0,3
2434.0,4
2460.0,3
2482.0,3
2545.0,2
2584.0,4
2594.0,7
2619.0,4
2702.0,10
2735.0,7
2743.0,8
2796.0,13
2812.0,11
2824.0,2
2830.0,8
2834.0,4
2838.0,3
2841.0,3
2845.0,13
2859.0,9
2882.0,16
2886.0,4
2924.0,8
2931.0,3
2940.0,15
2955.0,18
2972.0,5
2976.0,10
2986.0,3
2991.0,5
3001.0,4
3003.0,14
3018.0,17
3048.0,9
3069.0,2
3104.0,2
3130.0,9
3142.0,8
3151.0,12
3162.0,2
3177.0,15
3196.0,10
3206.0,5
3229.0,6
3236.0,7
3241.0,8
3249.0,7
3266.0,5
3278.0,14
3292.0,6
3312.0,10
3320.0,7
3339.0,7
3346.0,2
3348.0,2
3352.0,9
3359.0,13
3376.0,6
3378.0,7
3385.0,8
3409.0,7
3428.0,16
3445.0,5
3449.0,3
3467.0,4
3491.0,30
3506.0,4
3531.0,10
3557.0,4
3567.0,5
3576.0,11
3583.0,2
3585.0,3
3588.0,10
3598.0,12
3612.0,11
3641.0,11
3654.0,3
3658.0,3
3699.0,3
3701.0,3
3708.0,10
3723.0,6
3732.0,5
3736.0,6
3742.0,6
3752.0,8
3759.0,14
3775.0,11
3786.0,2
3800.0,10
3812.0,9
3830.0,2
3832.0,11
3843.0,2
3868.0,6
3881.0,8
3888.0,7
3896.0,5
3905.0,14
3919.0,2
3923.0,11
3940.0,10
3946.0,14
3967.0,12
3973.0,8
4034.0,11
4045.0,8
4066.0,8
4071.0,4
4077.0,6
4081.0,7
4097.0,7
4112.0,3
4118.0,8
4123.0,10
4134.0,3
4136.0,3
4141.0,2
4144.0,5
4154.0,3
4161.0,15
4198.0,14
4211.0,15
4241.0,3
4250.0,18
4273.0,5
4278.0,4
4305.0,8
4319.0,6
4325.0,9
4344.0,2
4359.0,25
4381.0,10
4400.0,4
4447.0,19
4464.0,30
4621.0,3
4627.0,15
4798.0,6
4815.0,6
4823.0,2
4825.0,5
4835.0,2
4846.0,3
4861.0,6
4866.0,3
4894.0,5
4899.0,2
4903.0,12
5374.0,6
5379.0,2
5385.0,6
5402.0,3
6448.0,5
6740.0,14
7349.0,5
7414.0,13
7695.0,17
8129.0,2
9091.0,2
9103.0,7
9110.0,2
9121.0,33
9155.0,94
9273.0,22
9288.0,7
9296.0,34
9360.0,7
9367.0,7
9380.0,5
9385.0,2
9387.0,2
9414.0,9
9423.0,5
9479.0,8
9486.0,2
9488.0,3
9491.0,4
9495.0,8
9503.0,2
9505.0,2
9513.0,3
9516.0,3
9526.0,5
9531.0,4
9537.0,3
9544.0,5
9570.0,20
9580.0,4
9584.0,3
9598.0,4
9602.0,2
9606.0,18
9626.0,8
9636.0,4
9647.0,7
9657.0,3
9663.0,6
9669.0,7
9676.0,3
9679.0,7
9708.0,24
9735.0,3
9744.0,43
9788.0,9
9799.0,8
9807.0,10
9818.0,16
9833.0,11
9845.0,5
9849.0,2
9853.0,2
9867.0,6
9879.0,9
10005.0,7
10222.0,33
11301.0,2
11329.0,2
11400.0,2
11407.0,2
11411.0,4
11435.0,3
11442.0,3
11459.0,5
11468.0,4
11473.0,5
11481.0,5
11485.0,4
11498.0,4
11513.0,4
11522.0,2
11525.0,4
11532.0,4
11542.0,4
11550.0,3
11556.0,2
11585.0,2
11603.0,2
11618.0,2
11620.0,2
11627.0,2
11632.0,3
11637.0,2
11644.0,6
11674.0,3
11676.0,6
11687.0,4
11702.0,2
11704.0,3
11732.0,5
11757.0,6
11786.0,6
11794.0,4
11802.0,5
11823.0,2
11834.0,5
11875.0,2
11885.0,12
11910.0,3
11916.0,7
11937.0,12
11955.0,3
11962.0,2
11986.0,2
11990.0,7
11996.0,3
12006.0,4
12011.0,2
12022.0,2
12027.0,7
12042.0,4
12055.0,3
12058.0,6
12065.0,6
12074.0,5
12087.0,5
12103.0,2
12142.0,3
12144.0,2
12163.0,5
12166.0,4
12223.0,13
12236.0,5
12259.0,3
12268.0,2
12277.0,6
12287.0,3
12291.0,2
12295.0,5
12302.0,5
12313.0,4
12357.0,2
12374.0,4
12378.0,3
12418.0,5
12432.0,5
12436.0,2
12480.0,5
12485.0,4
12501.0,4
12513.0,3
12517.0,6
12523.0,3
12530.0,3
12535.0,5
12543.0,3
12555.0,3
12557.0,3
12563.0,6
12622.0,2
12633.0,2
12636.0,3
12639.0,4
12653.0,2
12678.0,5
12695.0,2
12701.0,5
12716.0,3
12725.0,5
12734.0,4
12745.0,8
12760.0,3
12789.0,5
12828.0,2
12853.0,4
12860.0,2
12862.0,3
12869.0,4
12879.0,8
12889.0,32
12937.0,3
12996.0,3
13047.0,5
13076.0,9
13118.0,2
13120.0,5
13130.0,4
13167.0,5
13239.0,6
13265.0,3
13267.0,2
13323.0,5
13335.0,3
13338.0,4
13366.0,6
13376.0,2
13386.0,5
13391.0,4
13398.0,2
13400.0,3
13413.0,5
13420.0,8
13437.0,5
13461.0,4
13478.0,10
13482.0,6
13493.0,4
13503.0,6
13536.0,2
13556.0,6
13566.0,2
13587.0,6
13594.0,3
13616.0,3
13619.0,3
13625.0,5
13642.0,5
13647.0,10
13667.0,6
13712.0,7
13719.0,3
13732.0,5
13758.0,4
13778.0,4
13782.0,2
13790.0,6
13830.0,4
13850.0,14
13863.0,6
13869.0,2
13888.0,3
13891.0,4
13899.0,7
13934.0,3
13948.0,6
13957.0,4
13975.0,6
13996.0,4
13998.0,2
14009.0,2
14024.0,4
14045.0,2
14057.0,5
14064.0,3
14067.0,4
14072.0,3
14103.0,6
14118.0,3
14125.0,6
14131.0,4
14150.0,4
14157.0,2
14159.0,6
14195.0,6
14221.0,6
14228.0,5
14238.0,10
14249.0,2
